Rank,Points
1,100
2,94
3,88
4,83
5,78
6,73
7,69
8,65
9,61
10,57
11,53
12,50
13,47
14,44
15,41
16,38
17,35
18,32
19,29
20,26
21,23
22,20
23,17
24,14
25,12
26,10
27,8
28,6
29,4
30,2
